doi,refcodes,count,year,url,name_dicts,compound_dicts
10.1007/s11224-009-9564-3,"['FIJBUV01', 'XUXWIX', 'XUXWOD', 'XUXWUJ']",4,2009,https://link.springer.com/article/10.1007/s11224-009-9564-3,"{'1': 'Ag2(C4O4)', '3': 'Ag(C4H4N2)(C4O3OH)', '4a': 'Ag4(C4H4N2)(C4O6H4)2', '4b': 'Ag4(C4H4N2)0.5(C4O6H4)2(C2H3N)(OH2)'}",{}
10.1007/s11224-010-9627-5,"['TAKYEL', 'TAKYIP', 'TAKYOV', 'TAKYUB']",4,2010,https://link.springer.com/article/10.1007/s11224-010-9627-5,"{'1': '[Cu3Eu2(2,5-pydc)6(H2O)12]·4(H2O)', '2': '[Zn2Eu2(2,5-pydc)5(H2O)2]·3(H2O)', '4': 'H2pydc', '3': '[Co3Eu2(2,6-pydc)6(H2O)6]·4(H2O)'}","{'1': ['[Cu3Eu2(2,5-pydc)6(H2O)12]·4(H2O)'], '2': ['[Zn2Eu2(2,5-pydc)5(H2O)2]·3(H2O)'], '3': ['[Co3Eu2(2,6-pydc)6(H2O)6]·4(H2O)'], 'PDA2−': ['2,6-pydc2−']}"
10.1007/s11224-010-9628-4,['KACMUY'],1,2010,https://link.springer.com/article/10.1007/s11224-010-9628-4,{'1': '[Mn(HL)2(bpp)2(H2O)2]n'},{}
10.1007/s11224-010-9649-z,['TAJGAO'],1,2010,https://link.springer.com/article/10.1007/s11224-010-9649-z,{},{'PMP': ['1-phenyl-3-methyl-5-pyrazolone']}
10.1007/s11224-010-9659-x,"['IMUPUC', 'IMUQAJ', 'IMUQEN']",3,2010,https://link.springer.com/article/10.1007/s11224-010-9659-x,"{'3': '[Ni(HL)2(4,4′-bipy)2(H2O)2]·H2O'}","{'3': ['[Ni(HL)2(4,4′-bipy)2(H2O)2]·H2O']}"
10.1007/s11224-010-9684-9,"['ISEFUI', 'ISEGAP', 'ISEGET']",3,2010,https://link.springer.com/article/10.1007/s11224-010-9684-9,{'1': '{M(Hnico)3M′}n'},{}
10.1007/s11224-011-9733-z,['ITADOX'],1,2011,https://link.springer.com/article/10.1007/s11224-011-9733-z,{},{}
10.1007/s11224-011-9770-7,['UZENOD'],1,2011,https://link.springer.com/article/10.1007/s11224-011-9770-7,"{'3': '[ZnLI2]', '4': '[CdL2I2]', '5': '[Hg2L2I4]'}","{'2': ['5-acetyl-4,6-dimethyl-1,2,3,4-tetrahydropyrimidine-2-thione'], '2a': ['5-acetyl-4,6-dimethyl-1,2,3,4-tetrahydropyrimidine-2-thione'], '2b': ['5-acetyl-4,6-dimethyl-1,2,3,4-tetrahydropyrimidine-2-thione'], '6': ['N-(1-tosylethyl)thiourea'], '7': ['5-acetyl-4-hydroxy-4,6-dimethylhexahydropyrimidine-2-thione'], '3': ['diiodo(5-acetyl-4,6-dimethyl-1,2,3,4-tetrahydropyrimidine-2-thione)zinc'], '4': ['diiodobis(5-acetyl-4,6-dimethyl-1,2,3,4-tetrahydropyrimidine-2-thione)cadmium'], '5': ['tetraiodobis(5-acetyl-4,6-dimethyl-1,2,3,4-tetrahydropyrimidine-2-thione)dimercury']}"
10.1007/s11224-011-9778-z,['UZEPEV'],1,2011,https://link.springer.com/article/10.1007/s11224-011-9778-z,"{'1': '{Ag2(PMK)(OTf)·CH3CN}n', '2': '{[Ag2(PMK)2][PF6]2·MeCN}n', '3': '[Ag2(PMK)2](SbF6)2·CH2Cl2', '4': '[Ag5(PMK)3(NO3)3][Ag(NO3)3]·3CHCl3', 'PMK': '[Ag5(PMK)5(OTf)3(MeCN)4]2+'}",{}
10.1007/s11224-011-9784-1,"['UZEQEW', 'UZEQIA']",2,2011,https://link.springer.com/article/10.1007/s11224-011-9784-1,"{'1': '[Pr(noa)3(H2O)2]', '2': '[Nd(noa)3(H2O)2]'}",{}
