doi,refcodes,count,year,urls,url,flags,name_dicts,compound_dicts
10.1016/j.poly.2015.09.048,['TUSJUO'],1,2015,https://api.elsevier.com/content/article/pii/S0277538715005501,https://www.sciencedirect.com/science/article/pii/S0277538715005501,1,"{'1': '[Ag(DPAP-2)2][BF4]', '2': '[Ag(DPAP-2)]2[BF4]2', '4': '[Ag(DPAP-2)(5,5′-dimethyl-2,2′-dipyridyl)][BF4]', '5': '[Ag2(DPAP-2)(5,5′-dimethyl-2,2′-dipyridyl)2][BF4]2', '6': '(Agtfa)2(DPAP-2)(5,5′-dimethyl-2,2′-dipyridyl)2', '3': '[(Agtfa)4(DPAP-2)4]∞'}","{'4': ['[Ag(DPAP-2)(5,5′-dimethyl-2,2′-dipyridyl)][BF4]', '[Ag(DPAP-2)(5,5′-dmbpy)][BF4]'], '5': ['[Ag2(DPAP-2)(5,5′-dimethyl-2,2′-dipyridyl)2][BF4]2', '[Ag2(DPAP-2)(5,5′-dmpby)2][BF4]2'], '6': ['(Agtfa)2(DPAP-2)(5,5′-dimethyl-2,2′-dipyridyl)2', '(Agtfa)2(DPAP-2)(5,5′-dmbpy)2']}"
10.1016/j.molstruc.2017.10.021,['CEMTOG'],1,2018,https://api.elsevier.com/content/article/pii/S0022286017313522,https://www.sciencedirect.com/science/article/pii/S0022286017313522,1,{},{}
10.1016/j.molstruc.2014.09.001,"['POLKOS', 'POLKUY', 'POLLAF', 'POLLEJ']",4,2015,https://api.elsevier.com/content/article/pii/S0022286014008771,https://www.sciencedirect.com/science/article/pii/S0022286014008771,1,"{'1': '[Ni(iph)(3-pmna)]n', '2': '[Cd(iph)(3-pmna)]n', '3': '[Ni(nip)(3-pmna)]n', '4': '[Cd(nip)(3-pmna)]n'}","{'1': ['[Ni(iph)(3-pmna)]n'], '2': ['[Cd(iph)(3-pmna)]n'], '3': ['[Ni(nip)(3-pmna)]n'], '4': ['[Cd(nip)(3-pmna)]n']}"
10.1016/j.jorganchem.2009.06.036,"['VUGYOM', 'VUGYUS']",2,2009,https://api.elsevier.com/content/article/pii/S0022328X09004148,https://www.sciencedirect.com/science/article/pii/S0022328X09004148,1,{},"{'1': ['bis(4-nitrophenylethanoate)'], '(2)': ['bis(4-nitrophenylethanoate)'], '4': ['4-nitrophenylethanoate']}"
10.1016/j.ica.2005.07.006,"['KATVEH', 'KATVIL']",2,2005,https://api.elsevier.com/content/article/pii/S0020169305003841,https://www.sciencedirect.com/science/article/pii/S0020169305003841,1,"{'1': '{[Cu(bpo)(chdc)(H2O)](H2O)0.5}n', '2': '[Pb(chdc)(H2O)]n'}",{}
10.1016/j.cej.2021.132269,['HAKCOP'],1,2022,https://api.elsevier.com/content/article/pii/S1385894721038481,https://www.sciencedirect.com/science/article/pii/S1385894721038481,1,{},{}
10.1016/j.jinorgbio.2007.11.007,['VIYWOQ'],1,2008,https://api.elsevier.com/content/article/pii/S0162013407003200,https://www.sciencedirect.com/science/article/pii/S0162013407003200,1,"{'1': '[Cu2(μ-H2tea)2{μ3-Na2(H2O)4}(μ6-pma)]n·10nH2O', '2': '[Cu2(H3tea)2(μ4-pma)]n'}","{'1': ['[Cu2(μ-H2tea)2{μ3-Na2(H2O)4}(μ6-pma)]n·10nH2O'], '2': ['[Cu2(H3tea)2(μ4-pma)]n']}"
10.1016/j.poly.2017.03.062,"['MARCEQ', 'MARCIU']",2,2017,https://api.elsevier.com/content/article/pii/S0277538717302759,https://www.sciencedirect.com/science/article/pii/S0277538717302759,1,{},{}
10.1016/j.ica.2010.06.022,['OQANIE'],1,2010,https://api.elsevier.com/content/article/pii/S0020169310004020,https://www.sciencedirect.com/science/article/pii/S0020169310004020,1,{'3': '[Cu24(C12H12O7)24]·24MeOH'},"{'2': ['5-(2-(2-hydroxyethoxy)ethoxy)benzene-1,3-dicarboxylic', '5-(2-(2-Hydroxyethoxy)ethoxy)benzene-1,3-dicarboxylic'], '1': ['Dimethyl-5-(2-(2-hydroxyethoxy)ethoxy)benzene-1,3-dicarboxylic', 'dimethyl-5-(2-(2-hydroxyethoxy)ethoxy)benzene-1,3-dicarboxylic']}"
10.1016/j.jssc.2021.122191,['ARAPIV'],1,2021,https://api.elsevier.com/content/article/pii/S002245962100236X,https://www.sciencedirect.com/science/article/pii/S002245962100236X,1,"{'(1)': '{[Co4(bibp)4(SO42−)4(H2O)8]}n', '1': '{[Co4(bibp)4(SO42−)4(H2O)8]}n'}",{}
